date	STCK
16/12/2020 00:00	274.93
17/12/2020 00:00	277.3
18/12/2020 00:00	276.12
21/12/2020 00:00	272.67
22/12/2020 00:00	271.26
23/12/2020 00:00	267.11
24/12/2020 00:00	267.4
28/12/2020 00:00	268.74
29/12/2020 00:00	276.926
30/12/2020 00:00	278
31/12/2020 00:00	272
04/01/2021 00:00	275
05/01/2021 00:00	268.29
06/01/2021 00:00	261.56
07/01/2021 00:00	265.9
08/01/2021 00:00	268.31
11/01/2021 00:00	256.84
12/01/2021 00:00	256.6
13/01/2021 00:00	251.95
14/01/2021 00:00	253.34
15/01/2021 00:00	248.54
